number,입주형태,입주기간,코로나영향,환경개선여부,유치시설1,유치시설2,유치시설3,정화시설,위치규모,비용,환경,인력,행정,시설,교류,인지여부,입주후매출,입주후고용,입주후절감
0 ,1 ,1 ,2 ,4 ,1 ,5 ,1 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,5 ,1 ,2 ,2 ,3 
1 ,1 ,1 ,2 ,3 ,3 ,1 ,5 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,3 
2 ,2 ,2 ,1 ,2 ,4 ,1 ,5 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,2 
3 ,1 ,1 ,2 ,4 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,2 
4 ,1 ,1 ,1 ,5 ,1 ,2 ,5 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,5 ,2 
5 ,1 ,2 ,1 ,3 ,5 ,1 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,3 ,3 ,3 
6 ,2 ,1 ,1 ,3 ,5 ,2 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,2 ,2 
7 ,1 ,2 ,2 ,4 ,5 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,2 
8 ,2 ,2 ,1 ,3 ,2 ,5 ,1 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,1 ,2 ,2 ,3 
9 ,1 ,3 ,3 ,3 ,2 ,1 ,5 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,3 
10 ,1 ,1 ,1 ,4 ,2 ,1 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,5 
11 ,1 ,1 ,2 ,3 ,5 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,2 ,2 ,3 
