no,name,location,category
1,가나광고, 김천시,광고
2,가람기획, 구미시,공연
3,가미디자인, 상주시,광고
4,가온, 경산시,게임
5,강신기획, 영주시,광고
6,거송광고디자인, 영천시,광고
7,건강한친구, 구미시,융복합 콘텐츠
8,경농신문, 상주시,지식정보
9,경무기업, 안동시,광고
10,경북기획, 구미시,출판
11,경북뉴스라인, 구미시,지식정보
12,경북도민일보, 포항시,출판
13,경북동부신문, 영천시,출판
14,경북디자인센터, 영주시,캐릭터
15,경북매일신문, 포항시,출판
16,경북문화신문, 구미시,출판
17,경북미래연구소, 안동시,지식정보
18,경북방송, 포항시,방송
19,경북산업, 경주시,출판
20,경북인터넷방송, 안동시,지식정보
21,경북일보, 포항시,출판
22,경북자치신문, 김천시,지식정보
23,경북제일신문, 포항시,출판
24,경북종합신문, 포항시,출판
25,경북중앙뉴스, 의성군,출판
26,경북중앙신문, 구미시,지식정보
27,경북콘텐츠랩, 안동시,광고
28,경산인터넷뉴스, 경산시,출판
29,경산자치신문, 경산시,출판
30,경상매일신문사, 포항시,출판
31,경상종합광고기획, 경주시,광고
32,경상투데이, 경주시,출판
33,경상포커스협동조합, 성주군,출판
34,경서신문, 성주군,출판
35,경안일보, 안동시,출판
36,경일비트, 안동시,콘텐츠솔루션
37,경일신문, 경산시,출판
38,경주교차로, 경주시,출판
39,경주시민신문, 경주시,출판
40,경주신문사, 경주시,출판
41,경주씨피에스, 경주시,출판
42,경주정보사, 경주시,만화
43,경주포커스, 경주시,지식정보
44,경천교차로, 경산시,출판
45,고령군민신문, 고령군,출판
46,고령신문, 고령군,출판
47,고향신문사, 영덕군,출판
48,광고114, 예천군,광고
49,광고기획예닮, 안동시,출판
50,광고매니저, 경산시,광고
51,광고월드, 울진군,광고
52,구미교차로, 구미시,출판
53,구미기획인쇄, 구미시,광고
54,구미벼룩시장, 구미시,출판
55,국제콘텐츠팩토리,안동시,캐릭터
56,군위신문, 군위군,출판
57,그루와터, 칠곡군,광고
58,그리지오아트, 안동시,캐릭터
59,극단구미구미레파토리, 구미시,공연
60,극단길, 포항시,공연
61,글로발문화사, 구미시,출판
62,글로벌몬스터, 구미시,지식정보
63,글로벌아트, 안동시,지식정보
64,금강미디어, 포항시,광고
65,금강애드, 구미시,광고
66,금릉인쇄사, 김천시,출판
67,긍정의뉴스, 구미시,지식정보
68,기주기획사, 상주시,출판
69,김천교차로, 김천시,출판
70,김천내일신문, 김천시,출판
71,김천신문사, 김천시,출판
72,김천타임즈, 김천시,출판
73,나눔스토리, 포항시,지식정보
74,나무기획, 경주시,광고
75,나인시스템, 포항시,게임
76,네오에스티, 구미시,캐릭터
77,네오커뮤니케이션즈, 포항시,광고
78,네콘, 구미시,융복합 콘텐츠
79,넥스트클라우드, 포항시,캐릭터
80,넷미디어, 포항시,지식정보
81,노바소프트, 구미시,지식정보
82,노을, 구미시,광고
83,놀몸문화예술배움터, 안동시,공연
84,누라임스튜디오, 경산시,게임
85,누리스마트코리아, 포항시,콘텐츠솔루션
86,누리애드, 포항시,광고
87,누리지오시스템, 경산시,캐릭터
88,뉴스라이프, 구미시,지식정보
89,뉴스일번지, 구미시,출판
90,뉴트로게임즈, 경산시,게임
91,님블게임즈, 김천시,게임
92,다경인쇄기획, 김천시,출판
93,다인정보통신, 구미시,지식정보
94,단디, 안동시,방송
95,달라라네트워크, 구미시,방송
96,대가야신문, 고령군,출판
97,대경, 영주시,애니매이션
98,대경일보, 포항시,출판
99,대구CBS(cbs안동중계소), 안동시,방송
100,대구경북신문, 안동시,출판
101,대동개발, 포항시,지식정보
102,대련에듀, 포항시,출판
103,대림출판기획, 안동시,출판
104,대한커뮤니케이션즈, 구미시,공연
105,더나은, 구미시,광고
106,더조은광고기획, 안동시,광고
107,데모, 포항시,콘텐츠솔루션
108,데일리디자인, 포항시,광고
109,도담디자인스튜디오, 안동시,출판
110,도서출판느티나무, 영주시,출판
111,도서출판단풍나무, 포항시,출판
112,도서출판동반, 경주시,출판
113,도서출판뿌리, 경주시,출판
114,도서출판연꽃호수, 성주군,출판
115,도서출판창조이십일, 안동시,광고
116,도서출판형제, 안동시,광고
117,도시미, 포항시,광고
118,도원씨엔피, 경산시,캐릭터
119,돌나라출판사, 문경시,출판
120,동아애드컴, 김천시,출판
121,동아인쇄, 김천시,광고
122,동아일보포항교판, 포항시,출판
123,동아프로젝트, 구미시,광고
124,동양프린텍, 경산시,출판
125,동해테크, 포항시,지식정보
126,동화출판사, 영주시,출판
127,두인디자인, 성주군,광고
128,둥지커뮤니케이션즈, 청도군,광고
129,드림디자인, 안동시,광고
130,드림인쇄기획, 칠곡군,출판
131,디딤돌디자인기획, 안동시,출판
132,디아이티에스, 구미시,캐릭터
133,디앤웍스, 경산시,지식정보
134,디자인12k, 안동시,광고
135,디자인book소리, 안동시,출판
136,디자인기획온누리, 안동시,광고
137,디자인소담, 구미시,광고
138,디자인스토리, 안동시,광고
139,디자인스토리단국, 김천시,광고
140,디자인신라, 구미시,광고
141,디자인여백, 안동시,광고
142,디자인판, 안동시,출판
143,디자인하우스, 포항시,광고
144,디지털아이엠씨, 포항시,지식정보
145,디피시정보, 안동시,콘텐츠솔루션
146,라온이엔지, 경산시,캐릭터
147,라이프프로덕션, 포항시,광고
148,란기획, 영주시,출판
149,랜드인포, 포항시,콘텐츠솔루션
150,레드큐브엔터테인먼트,,게임
151,레콘, 경산시,애니매이션
152,로얄광고공사, 구미시,광고
153,마이다스에이치앤티, 포항시,지식정보
154,마이크로컴퓨터, 포항시,지식정보
155,마커, 포항시,지식정보
156,만화가아저씨, 경주시,만화
157,맹그라미콘텐츠랩, 안동시,지식정보
158,머스트, 경산시,콘텐츠솔루션
159,메이커홈, 문경시,지식정보
160,메인디자인, 구미시,광고
161,명문광고, 문경시,광고
162,모노마인드, 포항시,지식정보
163,모닝기획, 구미시,광고
164,모던광고사, 경주시,광고
