연번,법인번호,업체명
1,1101111877632,세우인코퍼레이션
2,1201110554065,우진코아
3,1101115529726,그루크리에이티브랩
4,1201111059618,대가코리아
5,1101116609329,데브언리밋
6,1101117415535,데이터하이브
7,1201110844812,동우이엔지
8,1201110557093,디케이엔지
9,1201111129388,라이징크래프트
10,2802110212155,랩랩
11,1101116780822,레블코퍼레이션
12,1701110213231,메가젠임플란트
13,1101117179660,모모비비
14,1201111159830,베리어스스튜디오
15,1201110802927,부평테크시티
16,2201110091206,브리오
17,1211110388489,브이다임
18,1201111027730,비바
19,1101116818714,비욘드더드림
20,1201111017989,씨티브이
21,1201111085952,아이오아이
22,1101115599555,에이피아이엔디
23,1101117118668,엔지아커넥트
24,1211110137232,오토메스텔스타
25,2849110226752,온택트티비
26,1101117197034,유기지능스튜디오
27,1201110537029,제이엠디지텍
28,1358110368580,집쇼코리아
29,1101114725242,키움
30,1201110809353,트리플
31,1101115729144,팔팔게임즈
32,1101116711413,해적아일랜드
33,1211110369835,허니플러그
34,1358110269572,두들러
35,1201111083948,메가커머스
36,1211110382176,복온궁비만연구소
37,1201110989585,인터랙트
41,1101115759935,굿윌헌팅
42,1101117200027,그로잉세일즈
45,1201111130913,네오타니미디어
47,1201110570285,뉴인스엔지니어링
64,1101117259066,아울게임즈
74,1201110877615,유콘
77,1201110177354,인우전기
81,1301110048313,젠스코리아
82,1201110948325,다조아
83,1201110557283,유니포스
84,1201110920323,유림전력
85,1201110713033,조은카드포스
87,1211110274274,지비시스템
93,1211110248774,코윈시스템
98,1701110659758,나우테크
99,1701110448416,대신도장설비
100,1701110709454,라온에이치씨
101,1760110112356,레이텍
102,1701110702903,배쓰프로젝트
103,1701110438920,삼근인터내셔널
104,1701110597346,선우철강
105,1701110610130,성경에프에이
106,1701110719495,시우라이팅
107,1701110758675,얌포코리아
108,1701110586183,에스에스알
109,1701110673815,에스이시스템
110,1101117489530,에이이티피
111,2301110112927,에이치씨엔씨
112,1701110714247,엔제이테크
113,1701110271148,영신에프에이
114,1748110023369,한진섬유기계
143,1701110714528,씨앤테크
152,1701110731118,제일에스컬레이터콘트롤
159,1701110693392,한신지알에스
162,1942110035370,티아이에스
164,1341110040167,경화엔지니어링
165,1942110022608,교차로신문
166,1942110215740,다올산전
167,1351110103534,대유미디어시스템즈
168,1901110036019,석영토건
169,1942110266016,동신지티아이
170,1942110286600,동아엔지니어링
171,1942110106775,두손인터내셔널
172,1942110330233,루미온
173,1942110280983,맑은하늘
174,1942110084111,매직시스템
175,1942110091611,미테리어
176,1942110319823,블루넷
177,1901110063062,비컴
178,1942110211037,삼영엠아이텍
179,1942110207036,성마
180,1942110330663,세연컴퍼니
181,1942110064593,세운테크놀로지
182,1358110163732,솔코
183,1101116079431,아라컨소시엄
184,1101113838608,에버라이트옵토일렉트로닉스코리아
185,1942110326448,에스에스에프앤비
186,1942110058249,에스지
187,1942110309882,에이스인베스트먼트그룹
188,1942110307555,에이엔티
189,1341110002258,오뚜기
192,1942110333089,유아이테크
193,1942110279069,이앤웍스
195,1942110291394,재상피앤에스
197,1942110185703,태경이엔지
198,1801110496190,명신이앤씨
200,1942110332495,푸른에셀
201,1342110210172,해뜰볕
202,1942110209686,휴맥
206,1101111606023,건축사사무소아라그룹
207,1942110235730,경남디자인플랫폼
209,1942110251603,경남지방행정발전연구원
213,1955110249734,농업회사법인  솔오토메틱
219,1942110205535,대경정밀공업
221,1846110034665,대명 피앤에프
228,1942110293142,두텍
229,1942110327769,디에스메카
244,2341110076947,비앤오메디텍
245,1811210002680,뉴비전전략연구원
254,1942110318908,시씨큐
258,1942110307505,씨엔커뮤니케이션
269,1942110102658,더로드
272,1942110254780,오성정보통신
281,1942110106444,이레산업
286,1942110229585,정웅씨앤디
294,1942110281121,거산이에스
295,1942110203282,경상엔지니어링
296,1942110336489,더원
297,2850110272504,더윈
298,1942110310681,더하람
299,1942110309486,디앤씨
300,1942110298811,로봇월드
301,1942110296906,모두의디자인
302,1942110088080,민텍
303,1942110311035,선인
304,1942110256877,세현이앤씨
305,1942110306408,쉐카이나
306,1942110181149,시아이티
307,1942110325557,쏘우웨이브경남
308,1942110337239,에스케이기계산업
309,1942110284026,에이블소프트
310,1942110298291,에프원공조
311,1942110277865,엔씨에스
312,1942110318271,엔이앤씨
313,1955110222186,엘시그니처
314,1942110256752,엠지아이티
315,1942110251645,위너스인텍
316,1942110282591,이비스마트
317,1942110289266,이노로버
319,1942110246464,이노플랜
320,1955110226071,인스피레이션
321,1101111676571,인터맥
323,1942110332271,지에스에프시스템
324,1801111268291,창원그린에너지원
325,1614110028619,해인기술
326,1942110034132,경남엘리베이터
329,1341110427654,케이앤제이엔지니어링
343,1701110011932,한국오에스지
345,1151710001380,한국교통안전공단
346,1101410008084,한국디자인진흥원
358,2149140036927,미래방재
359,2113140004010,여원조경개발
360,2149140015674,창대환경
361,2149110039620,광명시스템
362,2101110131244,길승산업
363,2149110064685,메크라랑코리아글로벌
364,2149110055288,선스타물류
365,2149110020033,시그널웍스
366,2802110151329,우리산업개발
367,1341110556536,유로핀즈우솔
368,2149110028417,주한건설기술단
373,2149140042320,농업회사법인 유한회사 더자람
382,2149110061813,미도산업개발
395,2149140030284,도형이엔지
401,2148110021083,코미
404,2149140043401,안심안전건설
409,1641710000052,한국수자원공사
411,1601110314784,한백항공
413,1201111004142,경은에스씨
414,1211110056979,미림실업
415,1211110338137,선광케미칼
416,1201110660440,솔루피온
417,1348110285800,신영에스앤디
418,1355110289930,씨티엔지
419,1314110314642,에이치에스티
420,1201110924870,엘씨엔티
421,1201110806771,우경산업
422,1201110820945,우일메탈산업
423,1201110993974,원진자동화
424,1201111031236,윈스크린
425,1211110275842,이머신
426,1201110751322,제이에이치글로벌
427,1201110894742,지티에스
428,1201111040063,진메드
429,1201110835803,진산
430,1201110636821,케이브이웍스
431,1201110873861,티지텍코리아
432,1201110929614,프리젠
434,1101116326303,후이즈스마트센터
442,1348110287400,나노닉스
444,1201111078709,농업회사법인 수복
450,1201510005759,두레방아협동조합
459,1201110784894,부영기계
462,1201110553645,성운에프에이
465,1311110345560,세진물산
478,1201110974833,에콜그린텍
507,1501110307624,나인텍
508,1501110237590,넥소바이오
509,1501110174015,농촌앤정
510,1501110295457,다이나즈
511,1501110305983,디지털바인즈
512,1543110032489,디원옵텍
513,1501110297346,명진솔루션
514,1314110342560,미래이노텍
515,1501110114657,비전에스앤씨
516,1501110151328,비즈포스
517,1501110133037,선반도체
518,1501110190847,세농테크
519,1501110148911,세종바이오
520,1344110093756,쓰리에치솔루션
521,1501110297677,씨앤에스
522,1501110263074,씨케이에스
523,1501110183024,아주이엔씨
524,1101117652096,에스디티솔루션
525,1501110287701,에스티에스엔지니어링
526,1501110304969,에피젠
527,1501110298477,엑솔바이오
528,1501110281688,엔터순
529,1501110299326,엘에스컴퍼니
530,1501110297403,올도완
531,1501110247044,와와플레이
532,1350110104378,우인켐텍
533,1101110588868,유니온 케미칼
534,1501110169321,유진테크시스템
535,1501110222351,임진과학
536,1615110223902,제이에스시스템
537,1501110229589,제이투케이바이오
538,1501110300115,직지안전기술
539,1501110201222,투비
540,1501110285656,파란이엔지
541,1501110246955,퓨처디벨
542,1501110160098,한국산업공해연구소
543,1615110096721,한인 엠시티
544,1501110311782,현이엔지
549,1501110295043,그리니지
551,1501110206719,농업회사법인 스톨존바이오
556,1501110290267,더블유디티
562,1501140000743,매그나칩반도체
565,1501110311104,바이오케이
569,1501110297825,스톨존메디컬
573,1501110277455,씨제이웰
578,1501110152912,알엘씨전자
584,1501710014041,영농조합법인 에듀팜
594,1501110259643,직지스퀘어
595,1346110022157,진우건철
611,1501110269098,한승이엔
614,1701110447848,분석기술과미래
615,1358110077181,선진전력시스템
616,1701110847816,씨티엘바이오테크
617,1701110418659,주성파텍
618,1701110497017,허브누리
619,1701110357774,형일시스템
621,1701110691875,명진랩
623,1101111222704,복정제형
627,1101115404952,123로지스
629,1201110821886,블루
630,1201111035783,삼성방재
631,1201110883472,에이엔티시스템
632,1201111102681,에이치플랫폼
633,1201111045724,우영테크놀로지
634,1211110375684,울파인
635,1101117605574,지엠시스템즈
636,1201111092064,헬스케어코리아
649,1244110205767,디알시스
651,1314110503724,디케이원
657,1201110867046,맥센스
680,1201110595952,명진기계산업
681,1201110852922,지에버
682,1201110869399,케이원엔터테크
689,1101112937831,코리아신탁
702,1101117713129,맨케이브
703,1101111714818,하나자산신탁
714,2001140119618,케이엔에스공조
715,2001110198212,나래에스앤아이
716,2001110321277,디비테크
717,2001110504211,명성에스디
718,2001110437678,삼성콤프레샤
719,2001110278717,씨에너지
720,1101116493813,에이오티코리아
721,2001110597365,친한
722,2001110470678,태일측량원
723,1101113244970,프로텍이노션
724,2001110495915,황성수컴퍼니
728,2001110548722,나영산업개발
750,2001110130339,하남중공업
753,1201111110337,고우플랜
754,1201110473835,네오네온엘이디라이팅
755,1201110915366,네오스텍
756,1201110039653,대기목재
757,1614110018701,매일엘이디
758,1201111072321,미래테크솔루션
759,1201110962846,미추홀가스건설
760,1201110952657,선진하드웨어
761,1201110554180,세원테크넷
762,1201110956352,승우정밀
763,1201111043306,신성전기기술
764,1201111016569,씨에이치엔지니어링
765,1201110075756,아산건설
766,1246110236007,아산테크
767,2849110065861,아이템
768,1201110296047,에이텍코리아
769,1246110259223,오성씨스템
770,1101116245769,우리아이들플러스
771,1201111005637,유원엔지니어링
772,1201110954546,유한티에이치에스
773,1246110270914,제가텍
774,1201110631897,제논
775,1355110276135,지승테크
776,1201110926024,지오솔루션
777,1201111144112,체리팩토리
778,2802110204912,케이알앤리
779,1101116259413,케이제이이엔씨
780,1201111140962,티이에스
781,1201111093533,포원이엔지
782,1201110896590,프로윈테크
783,1244110229890,플린트코리아
784,1201110437146,한신엔지니어링
785,1201110824559,혜민
786,1201110827628,홍산시스텍
791,1201110918154,광산테크
796,1101111492513,대한토지신탁
801,1201110127549,매일전기
806,1101111433468,삼정엘리베이터
811,1341110039847,아이에스테크놀로지
819,1341110207436,브이아이파워
828,1201110924557,유엔지티
830,1201110968456,지온옵틱스
841,1345150000694,도시환경개발원
842,1244110290586,나노옵틱스
844,1101117026803,다올이엔지
845,1311110389295,대정아이씨티
846,1101114927575,디엠쎌코스메틱
847,1101116597722,리앤인터내셔널
848,1345110067832,링크맨
849,1101117391503,메이버스
850,1101116779106,바이오제네시스
852,1342110238166,베온
853,1311110438737,브이원
854,1311110345495,비앤씨코리아
855,1311110526649,선목피앤디
856,1311110489673,성남유리샷시
857,1101117217709,성흥티에스
858,1101115395656,수앤진컴퍼니
859,1311110633098,시니원
860,1101111681744,신성프론티어
861,1311110330967,씨엘피
862,1345110340189,아남피유디
863,1101114772607,아너스코리아
864,1311110623586,아몬드앤코
865,1101114224723,아이에스지홀딩스
866,1311110513084,아임홈팩토리
868,1311110519842,에머릭스
869,1342110166309,에스엠이노텍
870,1342110241721,에이제로
871,1342110197297,엔브이씨
872,1342110189096,엔시스
873,1311110466275,엘트라글로벌
874,1101116702587,엠제이테크넷
875,1345110359750,이엠텍
876,1311110524362,연승컴퍼니
877,1311110463982,올앤올
878,1601110605787,와이메이커
