no,center,name,location
1,피앤피지식산업센터,(주)삼우전자,안산시
2,피앤피지식산업센터,(주)스마트클린테크,안산시
3,피앤피지식산업센터,(주)에스오일렉트로닉스,안산시
4,피앤피지식산업센터,(주)에이엘텍,안산시
5,피앤피지식산업센터,(주)에이켐테크놀로지,안산시
6,피앤피지식산업센터,(주)엘리트전자,안산시
7,피앤피지식산업센터,건양테크(주),안산시
8,피앤피지식산업센터,경덕엔지니어링,안산시
9,피앤피지식산업센터,미진테크(주),안산시
10,피앤피지식산업센터,서림테크,안산시
11,피앤피지식산업센터,아이티엔 써키트,안산시
12,피앤피지식산업센터,에스오테크,안산시
13,피앤피지식산업센터,에스제이에스,안산시
14,피앤피지식산업센터,제이알,안산시
15,피앤피지식산업센터,케이에이치,안산시
16,피앤피지식산업센터,태광진공열처리,안산시
17,부평테크시티,(주)금우바이오틱스,부평구
18,부평테크시티,(주)동우이엔지,부평구
19,부평테크시티,(주)라이징크래프트,부평구
20,부평테크시티,(주)모모비비,부평구
21,부평테크시티,(주)에이피아이엔디,부평구
22,부평테크시티,(주)제이엠디지텍,부평구
23,부평테크시티,(주)해적아일랜드,부평구
24,부평테크시티,㈜복온궁비만연구소,부평구
25,부평테크시티,가람,부평구
26,부평테크시티,고산정밀,부평구
27,부평테크시티,광원전기,부평구
28,부평테크시티,나온컴퍼니,부평구
29,부평테크시티,네오세스,부평구
30,부평테크시티,니어투,부평구
31,부평테크시티,다담플러스,부평구
32,부평테크시티,대원전기,부평구
33,부평테크시티,디에스 컴퍼니,부평구
34,부평테크시티,라온비즈컴(주),부평구
35,부평테크시티,라온코리아,부평구
36,부평테크시티,리치코,부평구
37,부평테크시티,미래프로세스,부평구
38,부평테크시티,미산테크,부평구
39,부평테크시티,범양ENG,부평구
40,부평테크시티,보미테크,부평구
41,부평테크시티,생생정보미디어,부평구
42,부평테크시티,수박(SOOBAK),부평구
43,부평테크시티,신우이앤에스,부평구
44,부평테크시티,씨앤피테크,부평구
45,부평테크시티,에스와이테크,부평구
46,부평테크시티,에스지메탈,부평구
47,부평테크시티,에이엑스글로벌,부평구
48,부평테크시티,에이엠코퍼레이션,부평구
49,부평테크시티,에이치앤아이컨설팅대부,부평구
50,부평테크시티,엠제이미디어,부평구
51,부평테크시티,오토나서울,부평구
52,부평테크시티,우리테크노,부평구
53,부평테크시티,이너트립,부평구
54,부평테크시티,인선기획,부평구
55,부평테크시티,인우전기(주),부평구
56,부평테크시티,제이에이치씨엔씨,부평구
57,부평테크시티,제피에스볼링,부평구
58,부평테크시티,주식회사 유림전력,부평구
59,부평테크시티,주식회사 조은카드포스,부평구
60,부평테크시티,주원시스템,부평구
61,부평테크시티,체크윈,부평구
62,부평테크시티,케이소프트,부평구
63,부평테크시티,케이제이테크,부평구
64,부평테크시티,코어테크,부평구
65,부평테크시티,티에이컴퍼니,부평구
66,부평테크시티,피테크,부평구
67,부평테크시티,픽고,부평구
68,성서드림타운,(주)대신도장설비,달서구
69,성서드림타운,(주)얌포코리아,달서구
70,성서드림타운,K.J CORPORATION,달서구
71,성서드림타운,가시스(GASYS),달서구
72,성서드림타운,가온테크,달서구
73,성서드림타운,넥스프릴,달서구
74,성서드림타운,대동텍스토피아,달서구
75,성서드림타운,대범,달서구
76,성서드림타운,대우정밀,달서구
77,성서드림타운,돌담툴,달서구
78,성서드림타운,동원에프에이,달서구
79,성서드림타운,라임텍,달서구
80,성서드림타운,보림,달서구
81,성서드림타운,보성기전,달서구
82,성서드림타운,비엔스틸,달서구
83,성서드림타운,삼원F.A,달서구
84,성서드림타운,세한메텍,달서구
85,성서드림타운,스마트솔루션,달서구
86,성서드림타운,스펙터,달서구
87,성서드림타운,신성기전,달서구
88,성서드림타운,씨앤테크(주),달서구
89,성서드림타운,아승에스티,달서구
90,성서드림타운,윤슬,달서구
91,성서드림타운,윤테크,달서구
92,성서드림타운,재경산업,달서구
93,성서드림타운,제일에스컬레이터콘트롤(주),달서구
94,성서드림타운,지팩토리,달서구
95,성서드림타운,진성테크,달서구
96,성서드림타운,파트너테크,달서구
97,성서드림타운,한성,달서구
98,성서드림타운,흥창정밀,달서구
99,스마트업타워,(주)강림조경건설,창원시
100,스마트업타워,(주)다올산전,창원시
101,스마트업타워,(주)동신지티아이,창원시
102,스마트업타워,(주)루미온,창원시
103,스마트업타워,(주)세연컴퍼니,창원시
104,스마트업타워,(주)에버라이트옵토일렉트로닉스코리아,창원시
105,스마트업타워,(주)웨스코스마트,창원시
106,스마트업타워,(주)위버맨시,창원시
107,스마트업타워,(주)유아이테크,창원시
108,스마트업타워,(주)이지지오,창원시
109,스마트업타워,(주)태경이엔지,창원시
110,스마트업타워,(주)휴맥,창원시
111,스마트업타워,OPEN TS,창원시
112,스마트업타워,speed OA system,창원시
113,스마트업타워,경남디자인플랫폼(주),창원시
114,스마트업타워,나우온,창원시
115,스마트업타워,남흥전기,창원시
116,스마트업타워,누리빛오피스,창원시
117,스마트업타워,누조테,창원시
118,스마트업타워,다온디자인,창원시
119,스마트업타워,다윈이엔씨,창원시
120,스마트업타워,대망경영컨설팅,창원시
121,스마트업타워,대명하이테크,창원시
122,스마트업타워,대산MCS,창원시
123,스마트업타워,대원산전,창원시
124,스마트업타워,동광산업,창원시
125,스마트업타워,두원측정기술,창원시
126,스마트업타워,디에스테크,창원시
127,스마트업타워,디자인더블유,창원시
128,스마트업타워,디자인더하기,창원시
129,스마트업타워,디자인휴머,창원시
130,스마트업타워,미래제어시스템,창원시
131,스마트업타워,민디자인,창원시
132,스마트업타워,반도정공,창원시
133,스마트업타워,방주유압,창원시
134,스마트업타워,비아이씨엔지니어링,창원시
135,스마트업타워,비앤오메디텍(주),창원시
136,스마트업타워,사단법인 뉴비전전략연구원,창원시
137,스마트업타워,삼천리스마트,창원시
138,스마트업타워,성우전기,창원시
139,스마트업타워,세영,창원시
140,스마트업타워,스크리포 SCRIPOT,창원시
141,스마트업타워,승지이엔지,창원시
142,스마트업타워,시씨큐 주식회사 ,창원시
143,스마트업타워,신신하이드로,창원시
144,스마트업타워,아이엔씨 비즈플랜,창원시
145,스마트업타워,에스앤에스 TECH,창원시
146,스마트업타워,에스엠제이건축사사무소,창원시
147,스마트업타워,에쓰에쓰티,창원시
148,스마트업타워,에이투엠 컴퍼니,창원시
149,스마트업타워,엠에스테크,창원시
150,스마트업타워,엠엔이솔루션,창원시
151,스마트업타워,우린플랫폼,창원시
152,스마트업타워,위너커뮤니케이션즈,창원시
153,스마트업타워,인터텍,창원시
154,스마트업타워,재단법인 여성기업종합지원센터 경남센터,창원시
155,스마트업타워,정암ENG,창원시
156,스마트업타워,정웅씨앤디(주),창원시
157,스마트업타워,제롬테크,창원시
158,스마트업타워,제우스텍,창원시
159,스마트업타워,조인통상,창원시
160,스마트업타워,주식회사 거산이에스,창원시
161,스마트업타워,주식회사 더원,창원시
162,스마트업타워,주식회사 디앤씨,창원시
163,스마트업타워,주식회사 로봇월드,창원시
164,스마트업타워,주식회사 민텍,창원시
165,스마트업타워,주식회사 쏘우웨이브경남,창원시
166,스마트업타워,주식회사 이노센스,창원시
167,스마트업타워,주식회사 중앙감정평가법인 경남중부지사,창원시
168,스마트업타워,지티애드,창원시
169,스마트업타워,지티티산업,창원시
170,스마트업타워,코드온메이커,창원시
171,스마트업타워,코애드,창원시
172,스마트업타워,테코젠,창원시
173,스마트업타워,파이프라인,창원시
174,스마트업타워,포시스,창원시
175,스마트업타워,플러스 이엔지,창원시
176,스마트업타워,하이랜더RV,창원시
177,스마트업타워,하이어,창원시
178,스마트업타워,하이텍라인,창원시
179,스마트업타워,한울 아이시티(ICT),창원시
180,스마트업타워,한주종합건축사사무소,창원시
181,스마트업타워,현진하이드로,창원시
182,스마트업타워,화남정밀,창원시
183,스마트업타워,효원테크,창원시
184,스마트업타워,힐데갈드화장품,창원시
185,익산지식산업센터,(주)메크라랑코리아글로벌,익산시
186,익산지식산업센터,(주)유로핀즈우솔,익산시
187,익산지식산업센터,A-GRID(에이그리드),익산시
188,익산지식산업센터,JJ컨설팅,익산시
189,익산지식산업센터,금형 컨설팅,익산시
190,익산지식산업센터,김대원세무사무소,익산시
191,익산지식산업센터,다온주얼리,익산시
192,익산지식산업센터,다이얼로그,익산시
193,익산지식산업센터,달달일러스트,익산시
194,익산지식산업센터,더블유엘,익산시
195,익산지식산업센터,도도철거,익산시
196,익산지식산업센터,맑은샘,익산시
197,익산지식산업센터,미정,익산시
198,익산지식산업센터,비제이에셋,익산시
199,익산지식산업센터,비클에이,익산시
200,익산지식산업센터,세무사 김병윤 사무소,익산시
201,익산지식산업센터,스탯에듀 통계연구소,익산시
202,익산지식산업센터,신이컴퍼니,익산시
203,익산지식산업센터,씨앤씨(Chois N Chois),익산시
204,익산지식산업센터,에스에스코리아,익산시
205,익산지식산업센터,에이치브이시뮬,익산시
206,익산지식산업센터,오피엘이디,익산시
207,익산지식산업센터,유경컨설팅,익산시
208,익산지식산업센터,이리모범용달사,익산시
209,익산지식산업센터,익산지식산업센터 1010호,익산시
210,익산지식산업센터,익산지식산업센터 806호,익산시
211,익산지식산업센터,익산지식산업센터 808호,익산시
212,익산지식산업센터,제이드,익산시
213,익산지식산업센터,"지식산업센터 1008호,1009호",익산시
214,익산지식산업센터,지오피플,익산시
215,익산지식산업센터,초현건설 유한회사,익산시
216,익산지식산업센터,클컴미디어,익산시
217,익산지식산업센터,퍼메이드,익산시
218,익산지식산업센터,플러스경영연구원,익산시
219,익산지식산업센터,하나로컨설팅,익산시
220,익산지식산업센터,한국승강기안전공사,익산시
221,익산지식산업센터,휴라이테크,익산시
222,후이즈스마트타워,(주)경은에스씨,남동구
223,후이즈스마트타워,(주)선광케미칼,남동구
224,후이즈스마트타워,(주)솔루피온,남동구
225,후이즈스마트타워,(주)신영에스앤디,남동구
226,후이즈스마트타워,(주)씨티엔지,남동구
227,후이즈스마트타워,(주)엘씨엔티,남동구
