YJ법과학연구소,청주시,YJ법과학연구소에 대한 검색결과 없음,YJ법과학연구소에 대한 검색결과 없음,YJ법과학연구소에 대한 검색결과 없음,YJ법과학연구소에 대한 검색결과 없음
대신정보,청주시,대신정보,"설립일                            1999년 07월 01일                                (업력 23년)대표자명전태영업종건물설비 설치 공사업기업주소경남 거창군 거창읍 중앙로1길 24, 2층 씨엔비학생복",중소기업,업력 24년차
대청테크놀로지,청주시,대청테크놀로지에 대한 검색결과 없음,대청테크놀로지에 대한 검색결과 없음,대청테크놀로지에 대한 검색결과 없음,대청테크놀로지에 대한 검색결과 없음
더나은,청주시,더나은(주),"설립일                            2016년 08월 11일                                (업력 6년)대표자명김민동업종기타 플라스틱 발포 성형제품 제조업재무정보매출액 190억원▲영업이익 7억원▲(2020년 기준)전체기업주소대구 북구 팔달로41길 80, 신관 5층","190억 3,521만원",중소기업
덕우물산,청주시,(주)덕우,설립일                            1996년 10월 10일                                (업력 26년)대표자명양기성업종금속 단조제품 제조업기업주소경남 김해시 주촌면 골든루트로130번길 8,중소기업,업력 27년차
디엔드소프트,청주시,디엔드소프트에 대한 검색결과 없음,디엔드소프트에 대한 검색결과 없음,디엔드소프트에 대한 검색결과 없음,디엔드소프트에 대한 검색결과 없음
디자인드림,청주시,디자인드림(주),"대표자명김승경업종제품 디자인업재무정보매출액 2억원▲영업이익 2500만원▲(2013년 기준)전체기업주소경기 하남시 조정대로 150, 858호","2억 1,646만원",1명
라인이엔지,청주시,(주)라인이엔지,설립일                            2009년 03월 26일                                (업력 13년)대표자명안태철업종1차 금속제품 도매업재무정보매출액 300억원▲영업이익 10억원▲(2021년 기준)전체평균연봉4000만원▲                                                            (2021년 기준)전체기업주소전남 광양시 옥곡면 강변로 454,306억 952만원,46명
마이컴퍼니,청주시,(주)마이컴퍼니,"설립일                            2017년 09월 04일                                (업력 5년)대표자명강영모/최윤배업종매니저업기업주소서울 성동구 성수일로8길 5, 1210호",중소기업,업력 6년차
모네,청주시,(주)모네,"설립일                            2015년 06월 18일                                (업력 7년)대표자명이상욱업종침구 및 관련제품 제조업기업주소인천 계양구 효서로 283, 2층",중소기업,업력 8년차
바이오케이(주),청주시,(주)바이오케이,설립일                            2014년 02월 05일                                (업력 8년)대표자명박경희업종음ㆍ식료품 및 담배 가공기계 제조업재무정보매출액 2억원▲영업이익 126.4만원▲(2021년 기준)전체기업주소경기 용인시 처인구 양지면 중부대로2670번길 15,"2억 8,620만원",5명
삼삼일건축사사무소,청주시,삼삼일건축사사무소에 대한 검색결과 없음,삼삼일건축사사무소에 대한 검색결과 없음,삼삼일건축사사무소에 대한 검색결과 없음,삼삼일건축사사무소에 대한 검색결과 없음
삼성C&S,청주시,삼성C&S,"설립일                            2012년 03월 01일                                (업력 10년)대표자명김태연업종컴퓨터 및 주변장치, 소프트웨어 소매업기업주소충북 청주시 서원구 개신동 226번지",중소기업,업력 11년차
서진툴링(Seojin Tooling),청주시,서진툴링(Seojin Tooling)에 대한 검색결과 없음,서진툴링(Seojin Tooling)에 대한 검색결과 없음,서진툴링(Seojin Tooling)에 대한 검색결과 없음,서진툴링(Seojin Tooling)에 대한 검색결과 없음
스톨존메디컬(주),청주시,스톨존메디컬(주),"설립일                            2020년 11월 19일                                (업력 2년)대표자명이용광업종기타 과실ㆍ채소 가공 및 저장 처리업기업주소충북 청주시 흥덕구 직지대로436번길 76, 3층 303호",중소기업,업력 3년차
썬켐텍,청주시,썬켐텍,"대표자명노승호업종계면활성제 제조업재무정보매출액 12억원▲영업이익 5000만원▲(2018년 기준)전체기업주소충북 청주시 흥덕구 강내면 월곡길 38, K동 206호 ,207호","13억 8,384만원",중소기업
씨에스테크,청주시,(주)씨에스테크,설립일                            2013년 07월 19일                                (업력 9년)대표자명이재선업종일반철물 제조업재무정보매출액 50억원▲영업이익 5억원▲(2020년 기준)전체평균연봉3000만원▲                                                            (2020년 기준)전체기업주소충남 천안시 서북구 성환읍 우신새터길 34-7,"57억 7,640만원",8명
씨와이큐(CYQ),청주시,씨와이큐(CYQ)에 대한 검색결과 없음,씨와이큐(CYQ)에 대한 검색결과 없음,씨와이큐(CYQ)에 대한 검색결과 없음,씨와이큐(CYQ)에 대한 검색결과 없음
아이엠디,청주시,(주)아이엠디,대표자명심동일업종그 외 기타 분류 안된 화학제품 제조업재무정보매출액 70억원▲(2020년 기준)전체평균연봉5500만원▲                                                            (2020년 기준)전체기업주소경기 오산시 가장산업북로 14,"70억 9,261만원",16명
아이티에스글로벌,청주시,(주)위티에스,"설립일                            2006년 12월 26일                                (업력 16년)대표자명김진우업종전기용 기계ㆍ장비 및 관련 기자재 도매업재무정보매출액 15억원▲영업이익 7500만원▲(2019년 기준)전체평균연봉4500만원▲                                                            (2019년 기준)전체기업주소경기 광명시 하안로 60, D동 1509호","15억 6,745만원",3명
에버네솔,청주시,에버네솔에 대한 검색결과 없음,에버네솔에 대한 검색결과 없음,에버네솔에 대한 검색결과 없음,에버네솔에 대한 검색결과 없음
엘에스씨엔씨,청주시,엘에스씨엔씨에 대한 검색결과 없음,엘에스씨엔씨에 대한 검색결과 없음,엘에스씨엔씨에 대한 검색결과 없음,엘에스씨엔씨에 대한 검색결과 없음
와이지일렉트릭,청주시,와이지일렉트릭,설립일                            2021년 05월 18일                                (업력 1년)대표자명황희남업종전기·전자·제어기업주소충북 청주시 흥덕구 직지대로436번길 76 직지스마트타워,6명,중소기업
