basDt,bizYear,crno,enpBzopPft,enpCptlAmt,enpCrtmNpf,enpSaleAmt,enpTastAmt,enpTcptAmt,enpTdbtAmt,fnclDcd,fnclDcdNm,fnclDebtRto,iclsPalClcAmt
20161231,2016,1101111877632,427921,200000,318591,31781863,18385784,7000732,11385052,120,요약별도재무정보,162.6265939047,344275
20171231,2017,1101111877632,4215,200,3067,62328,28520,10068,18452,110,요약연결재무제표,183.27,3473
20181231,2018,1101111877632,3184210,200000,2922423,79151116,28381315,12990179,15391136,120,요약별도재무정보,118.4828630921,3308545
20191231,2019,1101111877632,5486158,347520,4785988,75741323,54624390,36403489,18220901,120,요약별도재무정보,50.0526227032,5415252
20201231,2020,1101111877632,6147,4078,6238,67061,60760,39642,21118,110,요약연결재무제표,53.27,6265
20181231,2018,1101116609329,-196,10,-201,1,23,-208,231,110,요약연결재무제표,0,-201
20191231,2019,1101116609329,-294,10,-120,72,21,-328,349,110,요약연결재무제표,0,-120
20201231,2020,1101116609329,-233,11,-104,123,74,-364,438,110,요약연결재무제표,0,-104
20161231,2016,1201110844812,24587,50000,22864,408040,424517,72864,351653,120,요약별도재무정보,482.6155577514,24587
20171231,2017,1201110844812,521277,50000,459388,3312776,1061622,532251,529371,120,요약별도재무정보,99.458901909,527618
20181231,2018,1201110844812,44830,50000,42131,1176843,1281680,474382,807298,120,요약별도재무정보,170.1788853708,46851
20191231,2019,1201110844812,22118,50000,9802,762367,1172882,424185,748697,120,요약별도재무정보,176.5024694413,12788
20171231,2017,1201110557093,-29394,150000,-19690,877294,3912220,1381196,2531024,120,요약별도재무정보,183.2487206739,-6935
20181231,2018,1201110557093,-342232,150000,-373884,1500056,3993414,1007312,2986102,120,요약별도재무정보,296.4426116238,-373577
20191231,2019,1201110557093,312770,150000,207304,2937328,2828509,1214617,1613892,120,요약별도재무정보,132.8725021961,207304
20201231,2020,2802110212155,-46,1,-8,0,1,-7,8,110,요약연결재무제표,0,-8
20191231,2019,1101116780822,-16,1,-16,52,188,186,2,110,요약연결재무제표,1.08,-16
20201231,2020,1101116780822,-28,1,-12,89,183,174,9,110,요약연결재무제표,5.17,-12
20161231,2016,1701110213231,13634001,5430569,10269469,69560408,105763664,45922059,59841605,120,요약별도재무정보,130.311241053,12174349
20171231,2017,1701110213231,9440610,5430569,4290653,74332277,127273601,50212712,77060889,120,요약별도재무정보,153.4688845326,5218217
20181231,2018,1701110213231,15022784,5430568,10437055,81282044,159574905,60980326,98594579,120,요약별도재무정보,161.6826039926,13788711
20201231,2020,1701110213231,15395654,5430568,5158742,104326599,167224794,73318575,93906219,120,요약별도재무정보,128.0797110418,6492529
20161231,2016,2201110091206,9521,200000,10570,1848932,2437757,711573,1726184,120,요약별도재무정보,242.5870571255,10570
20171231,2017,2201110091206,87215,200000,49569,2176422,2734571,758068,1976503,120,요약별도재무정보,260.7289847348,49569
20181231,2018,2201110091206,174520,200000,107800,2695037,2897815,853460,2044355,120,요약별도재무정보,239.5372952452,107800
20191231,2019,2201110091206,194,200,111,3106,3475,948,2527,110,요약연결재무제표,266.56,113
20201231,2020,2201110091206,-283,200,-240,1853,3215,694,2521,110,요약연결재무제표,363.26,-240
20191231,2019,1201111027730,-415,343000,-180,34237,475007,342820,132187,120,요약별도재무정보,38.5587188612,-180
20201231,2020,1201111027730,17823,343000,17743,1812045,1119850,360563,759287,120,요약별도재무정보,210.5837260062,17743
20181231,2018,1101116818714,-20,10,-18,23,5,-8,13,110,요약연결재무제표,0,-18
20191231,2019,1101116818714,-261,10,-230,59,113,-239,352,110,요약연결재무제표,0,-230
20201231,2020,1101116818714,-87,29,-59,22,235,-8,243,110,요약연결재무제표,0,-59
20161231,2016,1101115599555,161291,50000,123101,1333068,535373,192452,342921,120,요약별도재무정보,178.1852098185,138315
20171231,2017,1101115599555,61676,50000,40169,1390859,674566,232621,441945,120,요약별도재무정보,189.9849970552,45147
20181231,2018,1101115599555,36017,50000,13327,1231887,674143,245948,428195,120,요약별도재무정보,174.0998097158,15486
20191231,2019,1101115599555,231908,50000,198177,1144136,963964,444123,519841,120,요약별도재무정보,117.0488806028,216675
20201231,2020,1101115599555,27,50,114,1229,974,513,461,110,요약연결재무제표,89.86,122
20191231,2019,1101117118668,40409,1,24808,1388348,375587,24809,350778,120,요약별도재무정보,1413.9143052924,24808
20201231,2020,1101117118668,74268,20001,85228,739840,428853,129549,299304,120,요약별도재무정보,231.0353611374,87956
20161231,2016,1211110137232,36265,100000,43373,1088613,1871003,1062421,808582,120,요약별도재무정보,76.1074941101,43984
20171231,2017,1211110137232,106999,100000,62748,1209989,2318298,1125169,1193129,120,요약별도재무정보,106.0399815494,63407
20181231,2018,1211110137232,85864,100000,56434,943722,1999439,1181603,817836,120,요약별도재무정보,69.2141099844,57293
20191231,2019,1211110137232,96429,100000,58480,1162420,2826853,1240083,1586770,120,요약별도재무정보,127.9567577331,59071
20201231,2020,1211110137232,114889,100000,120387,1680086,2699668,1360470,1339198,120,요약별도재무정보,98.4364227068,121637
20191231,2019,1101117197034,-5,1,-5,0,0,-4,4,110,요약연결재무제표,0,-5
20201231,2020,1101117197034,-32,1,-32,0,2,-36,38,110,요약연결재무제표,0,-32
20161231,2016,1201110537029,49383,100000,42084,1239135,773111,289314,483797,120,요약별도재무정보,167.2221185286,42084
20171231,2017,1201110537029,34096,100000,25960,932109,896625,314926,581699,120,요약별도재무정보,184.709741336,26209
20181231,2018,1201110537029,76381,100000,23733,1219981,1432226,338659,1093567,120,요약별도재무정보,322.9109517243,23940
20191231,2019,1201110537029,66039,100000,42104,1366489,1448869,345763,1103106,120,요약별도재무정보,319.0352929607,42561
20201231,2020,1201110537029,74524,100000,54079,1439173,1410255,359842,1050413,120,요약별도재무정보,291.909504727,54079
20181231,2018,1101114725242,-11399,250000,-52595,2356224,1937776,76184,1861592,120,요약별도재무정보,2443.5472015121,-52595
20191231,2019,1101114725242,18817,250000,23575,2936758,1902095,99760,1802335,120,요약별도재무정보,1806.671010425,23575
20161231,2016,1101115729144,7,99,2,420,451,39,412,110,요약연결재무제표,1056.41,2
20171231,2017,1101115729144,-210,100,-214,23,269,-175,444,110,요약연결재무제표,0,-214
20181231,2018,1101115729144,35,105,47,359,454,114,340,110,요약연결재무제표,298.25,47
20191231,2019,1101115729144,18,105,8,434,443,122,321,110,요약연결재무제표,263.11,8
20201231,2020,1101115729144,24,105,14,169,531,135,396,110,요약연결재무제표,293.33,14
20181231,2018,1101116711413,-140024,30000,-141343,31350,11557,-111343,122900,120,요약별도재무정보,-110.3796376961,-141343
20191231,2019,1211110369835,-54285,20000,-35234,0,87676,-15234,102910,120,요약별도재무정보,-675.5284232637,-35234
20201231,2020,1211110369835,-157787,70000,2324,29304,142340,36543,105797,120,요약별도재무정보,289.5137235585,2324
20201231,2020,1201111083948,107,10,98,340,140,108,32,110,요약연결재무제표,29.63,111
20201231,2020,1201110989585,7288,50000,67133,692394,374243,131667,242576,120,요약별도재무정보,184.2344702924,67133
20161231,2016,1101115759935,-51,10,-34,17,179,-32,211,110,요약연결재무제표,0,-34
20171231,2017,1101115759935,-60,108,-9,74,571,56,515,110,요약연결재무제표,919.64,-9
20181231,2018,1101115759935,-178,108,-171,29,693,-115,808,110,요약연결재무제표,0,-171
20191231,2019,1101115759935,-104,108,2,110,758,-114,872,110,요약연결재무제표,0,2
20201231,2020,1101115759935,-4,132,116,196,1089,203,886,110,요약연결재무제표,436.45,116
20191231,2019,1101117200027,-26997,1000,-254,0,3054,746,2308,120,요약별도재무정보,309.383378016,-254
20201231,2020,1101117200027,-108090,1047,12785,34860,84101,58392,25709,120,요약별도재무정보,44.0282915467,12785
20181231,2018,1201110570285,367296,50000,359870,4359095,2447221,1717328,729893,120,요약별도재무정보,42.5016653778,363505
20191231,2019,1201110570285,274184,50000,295329,4760689,3319916,2012656,1307260,120,요약별도재무정보,64.9519838462,299315
20201231,2020,1201110570285,315065,50000,306115,5995642,2884919,2318771,566148,120,요약별도재무정보,24.4158651285,310321
20171231,2017,1201110877615,-5,20,-5,43,19,15,4,110,요약연결재무제표,26.67,-5
20181231,2018,1201110877615,-47,20,-47,25,75,-32,107,110,요약연결재무제표,0,-47
20191231,2019,1201110877615,-129,20,38,163,341,6,335,110,요약연결재무제표,5583.33,38
